Bal;Date;Heure;debit (g/h);debit1 (g/h)
113;2022.10.06;47:31,3;19,999;19,999
114;2022.10.06;47:33,3;20,002;20,002
115;2022.10.06;47:35,3;19,993;19,993
116;2022.10.06;47:37,3;19,999;19,999
117;2022.10.06;47:39,3;19,998;19,998
118;2022.10.06;47:41,3;19,995;19,995
119;2022.10.06;47:43,3;20,009;20,009
120;2022.10.06;47:45,3;20,002;20,002
121;2022.10.06;47:47,3;19,999;19,999
122;2022.10.06;47:49,3;19,998;19,998
123;2022.10.06;47:51,3;20;20
124;2022.10.06;47:53,3;20,001;20,001
125;2022.10.06;47:55,3;19,994;19,994
126;2022.10.06;47:57,3;19,994;19,994
127;2022.10.06;47:59,3;19,995;19,995
128;2022.10.06;48:01,3;19,998;19,998
129;2022.10.06;48:03,3;20,003;20,003
130;2022.10.06;48:05,3;20,005;20,005
131;2022.10.06;48:07,3;20,003;20,003
132;2022.10.06;48:09,3;20,003;20,003
133;2022.10.06;48:11,3;19,993;19,993
134;2022.10.06;48:13,3;20,004;20,004
135;2022.10.06;48:15,3;20,004;20,004
136;2022.10.06;48:17,3;19,994;19,994
137;2022.10.06;48:19,3;20;20
138;2022.10.06;48:21,3;20;20
139;2022.10.06;48:23,3;20,001;20,001
140;2022.10.06;48:25,3;20,004;20,004
141;2022.10.06;48:27,3;20,002;20,002
142;2022.10.06;48:29,3;19,999;19,999
143;2022.10.06;48:31,3;20,001;20,001
144;2022.10.06;48:33,3;19,994;19,994
145;2022.10.06;48:35,3;19,99;19,99
146;2022.10.06;48:37,3;20,002;20,002
147;2022.10.06;48:39,3;20,002;20,002
148;2022.10.06;48:41,3;20,004;20,004
149;2022.10.06;48:43,3;20;20
150;2022.10.06;48:45,3;20,001;20,001
151;2022.10.06;48:47,3;20,012;20,012
152;2022.10.06;48:49,3;20,002;20,002
153;2022.10.06;48:51,3;19,99;19,99
154;2022.10.06;48:53,3;19,999;19,999
155;2022.10.06;48:55,3;19,997;19,997
156;2022.10.06;48:57,3;20,001;20,001
157;2022.10.06;48:59,3;20;20
158;2022.10.06;49:01,3;20,002;20,002
159;2022.10.06;49:03,3;20,001;20,001
160;2022.10.06;49:05,3;20;20
161;2022.10.06;49:07,3;19,994;19,994
162;2022.10.06;49:09,3;20,003;20,003
163;2022.10.06;49:11,3;20,002;20,002
164;2022.10.06;49:13,3;20,005;20,005
165;2022.10.06;49:15,3;19,999;19,999
166;2022.10.06;49:17,3;19,997;19,997
167;2022.10.06;49:19,3;19,994;19,994
168;2022.10.06;49:21,3;19,999;19,999
169;2022.10.06;49:23,3;20,002;20,002
170;2022.10.06;49:25,3;19,999;19,999
171;2022.10.06;49:27,3;20,001;20,001
172;2022.10.06;49:29,3;20,002;20,002
173;2022.10.06;49:31,3;20,003;20,003
174;2022.10.06;49:33,3;19,999;19,999
175;2022.10.06;49:35,3;20;20
176;2022.10.06;49:37,3;20,003;20,003
177;2022.10.06;49:39,3;20,002;20,002
178;2022.10.06;49:41,3;19,998;19,998
179;2022.10.06;49:43,3;19,999;19,999
180;2022.10.06;49:45,3;19,996;19,996
181;2022.10.06;49:47,3;19,997;19,997
182;2022.10.06;49:49,3;19,997;19,997
183;2022.10.06;49:51,3;19,995;19,995
184;2022.10.06;49:53,3;19,998;19,998
185;2022.10.06;49:55,3;20,001;20,001
186;2022.10.06;49:57,3;20,001;20,001
187;2022.10.06;49:59,3;20,001;20,001
188;2022.10.06;50:01,3;19,995;19,995
189;2022.10.06;50:03,3;20,002;20,002
190;2022.10.06;50:05,3;20,001;20,001
191;2022.10.06;50:07,3;20,002;20,002
192;2022.10.06;50:09,3;20,004;20,004
193;2022.10.06;50:11,3;20,003;20,003
194;2022.10.06;50:13,3;20;20
195;2022.10.06;50:15,3;20;20
196;2022.10.06;50:17,3;19,995;19,995
197;2022.10.06;50:19,3;20,001;20,001
198;2022.10.06;50:21,3;20,001;20,001
199;2022.10.06;50:23,3;19,996;19,996
200;2022.10.06;50:25,3;20,004;20,004
201;2022.10.06;50:27,3;20,004;20,004
202;2022.10.06;50:29,3;20,004;20,004
203;2022.10.06;50:31,3;19,996;19,996
204;2022.10.06;50:33,3;19,992;19,992
205;2022.10.06;50:35,3;20,003;20,003
206;2022.10.06;50:37,3;20,001;20,001
207;2022.10.06;50:39,3;19,999;19,999
208;2022.10.06;50:41,3;19,996;19,996
209;2022.10.06;50:43,3;20,005;20,005
210;2022.10.06;50:45,3;20,007;20,007
211;2022.10.06;50:47,3;19,994;19,994
212;2022.10.06;50:49,3;20,005;20,005
213;2022.10.06;50:51,3;17,009;17,009
214;2022.10.06;50:53,3;17,006;17,006
215;2022.10.06;50:55,3;17,005;17,005
216;2022.10.06;50:57,3;17,003;17,003
217;2022.10.06;50:59,3;16,996;16,996
218;2022.10.06;51:01,3;17,001;17,001
219;2022.10.06;51:03,3;17,003;17,003
220;2022.10.06;51:05,3;17,002;17,002
221;2022.10.06;51:07,3;17;17
222;2022.10.06;51:09,3;16,998;16,998
223;2022.10.06;51:11,3;17,004;17,004
224;2022.10.06;51:13,3;16,996;16,996
225;2022.10.06;51:15,3;16,997;16,997
226;2022.10.06;51:17,3;17,005;17,005
227;2022.10.06;51:19,3;16,998;16,998
228;2022.10.06;51:21,3;17;17
229;2022.10.06;51:23,3;16,999;16,999
230;2022.10.06;51:25,3;17,002;17,002
231;2022.10.06;51:27,3;16,999;16,999
232;2022.10.06;51:29,3;16,999;16,999
233;2022.10.06;51:31,3;16,997;16,997
234;2022.10.06;51:33,3;16,998;16,998
235;2022.10.06;51:35,3;17;17
236;2022.10.06;51:37,3;17,001;17,001
237;2022.10.06;51:39,3;17,004;17,004
238;2022.10.06;51:41,3;17,005;17,005
239;2022.10.06;51:43,3;17,005;17,005
240;2022.10.06;51:45,3;16,998;16,998
241;2022.10.06;51:47,3;17,001;17,001
242;2022.10.06;51:49,3;17,001;17,001
243;2022.10.06;51:51,3;17,001;17,001
244;2022.10.06;51:53,3;16,997;16,997
245;2022.10.06;51:55,3;17,002;17,002
246;2022.10.06;51:57,3;17,001;17,001
247;2022.10.06;51:59,3;16,999;16,999
248;2022.10.06;52:01,3;17,005;17,005
249;2022.10.06;52:03,3;16,994;16,994
250;2022.10.06;52:05,3;16,995;16,995
251;2022.10.06;52:07,3;16,998;16,998
252;2022.10.06;52:09,3;17,005;17,005
253;2022.10.06;52:11,3;16,999;16,999
254;2022.10.06;52:13,3;16,998;16,998
255;2022.10.06;52:15,3;17;17
256;2022.10.06;52:17,3;17;17
257;2022.10.06;52:19,3;17,002;17,002
258;2022.10.06;52:21,3;17,002;17,002
259;2022.10.06;52:23,3;16,994;16,994
260;2022.10.06;52:25,3;16,998;16,998
261;2022.10.06;52:27,3;17;17
262;2022.10.06;52:29,3;16,997;16,997
263;2022.10.06;52:31,3;17,002;17,002
264;2022.10.06;52:33,3;16,998;16,998
265;2022.10.06;52:35,3;16,997;16,997
266;2022.10.06;52:37,3;16,999;16,999
267;2022.10.06;52:39,3;16,997;16,997
268;2022.10.06;52:41,3;16,999;16,999
269;2022.10.06;52:43,3;17,001;17,001
270;2022.10.06;52:45,3;17,003;17,003
271;2022.10.06;52:47,3;14,02;14,02
272;2022.10.06;52:49,3;14;14
273;2022.10.06;52:51,3;13,996;13,996
274;2022.10.06;52:53,3;14;14
275;2022.10.06;52:55,3;13,996;13,996
276;2022.10.06;52:57,3;13,998;13,998
277;2022.10.06;52:59,3;14;14
278;2022.10.06;53:01,3;14,001;14,001
279;2022.10.06;53:03,3;13,994;13,994
280;2022.10.06;53:05,3;14,002;14,002
281;2022.10.06;53:07,3;13,999;13,999
282;2022.10.06;53:09,3;14,005;14,005
283;2022.10.06;53:11,3;13,998;13,998
284;2022.10.06;53:13,3;13,989;13,989
285;2022.10.06;53:15,3;13,999;13,999
286;2022.10.06;53:17,3;14,003;14,003
287;2022.10.06;53:19,3;13,992;13,992
288;2022.10.06;53:21,3;14;14
289;2022.10.06;53:23,3;13,995;13,995
290;2022.10.06;53:25,3;14,006;14,006
291;2022.10.06;53:27,3;13,998;13,998
292;2022.10.06;53:29,3;14,002;14,002
293;2022.10.06;53:31,3;13,999;13,999
294;2022.10.06;53:33,3;14;14
295;2022.10.06;53:35,3;14,001;14,001
296;2022.10.06;53:37,3;13,994;13,994
297;2022.10.06;53:39,3;13,999;13,999
298;2022.10.06;53:41,3;14,001;14,001
299;2022.10.06;53:43,3;14,001;14,001
300;2022.10.06;53:45,3;14,002;14,002
301;2022.10.06;53:47,3;13,995;13,995
302;2022.10.06;53:49,3;14,005;14,005
